"分组","业务组别","选取主成分数","所选组内方差贡献率合计","所选组内累计贡献率","组内第一主成分贡献率"
"全局样本","受众偏好",2,0.8691,0.8691,0.6122
"全局样本","商业运营",3,0.9646,0.9646,0.4497
"全局样本","内容属性",3,1,1,0.3711
"全局样本","流量热度",2,0.983,0.983,0.6243
"1991-2009年","受众偏好",2,0.8785,0.8785,0.6236
"1991-2009年","商业运营",3,0.9694,0.9694,0.4694
"1991-2009年","内容属性",3,1,1,0.3643
"1991-2009年","流量热度",2,0.9828,0.9828,0.6748
"2010年及以后","受众偏好",3,1,1,0.5274
"2010年及以后","商业运营",3,0.9709,0.9709,0.5037
"2010年及以后","内容属性",3,1,1,0.3741
"2010年及以后","流量热度",2,0.9761,0.9761,0.8295
"1990年及以前","受众偏好",2,0.893,0.893,0.6348
"1990年及以前","商业运营",3,0.9561,0.9561,0.4156
"1990年及以前","内容属性",3,1,1,0.4256
"1990年及以前","流量热度",2,0.9822,0.9822,0.7634
